district,Month_Num,Rainfall_mm,Year,Temperature_C,Soil_Recharge_Factor,Groundwater_Level_mBGL,,,District
Khammam,September,330.2,2024,29.5,0.69,2.678333333,,,KHAMMAM
Khammam,October,47.5,2024,28.5,0.69,2.2935,,,KHAMMAM
Khammam,November,32.6,2024,25.5,0.69,3.272424242,,,KHAMMAM
Khammam,December,20.3,2024,23.5,0.69,3.843333333,,,KHAMMAM
Kumuram Bheem asifabad,January,2,2023,22,0.74,6.54375,,,KUMURAM BHEEM ASIFABAD
Kumuram Bheem asifabad,February,0,2023,24,0.74,7.2178125,,,KUMURAM BHEEM ASIFABAD
Kumuram Bheem asifabad,March,16.7,2023,28,0.74,7.823870968,,,KUMURAM BHEEM ASIFABAD
Kumuram Bheem asifabad,April,35.9,2023,32,0.74,8.18516129,,,KUMURAM BHEEM ASIFABAD
Kumuram Bheem asifabad,May,43.9,2023,35,0.74,8.407419355,,,KUMURAM BHEEM ASIFABAD
Kumuram Bheem asifabad,June,60.9,2023,31,0.74,9.011935484,,,KUMURAM BHEEM ASIFABAD
Kumuram Bheem asifabad,July,227,2023,28,0.74,4.96,,,KUMURAM BHEEM ASIFABAD
Kumuram Bheem asifabad,August,55.3,2023,27,0.74,3.587,,,KUMURAM BHEEM ASIFABAD
Kumuram Bheem asifabad,September,125.9,2023,28,0.74,4.234666667,,,KUMURAM BHEEM ASIFABAD
Kumuram Bheem asifabad,October,37,2023,27,0.74,4.152666667,,,KUMURAM BHEEM ASIFABAD
Kumuram Bheem asifabad,November,18.2,2023,24,0.74,5.4728125,,,KUMURAM BHEEM ASIFABAD
Kumuram Bheem asifabad,December,5.4,2023,22,0.74,5.93875,,,KUMURAM BHEEM ASIFABAD
Kumuram Bheem asifabad,January,7.8,2024,22.5,0.74,6.54375,,,KUMURAM BHEEM ASIFABAD
Kumuram Bheem asifabad,February,8.8,2024,24.5,0.74,7.2178125,,,KUMURAM BHEEM ASIFABAD
Kumuram Bheem asifabad,March,75.4,2024,28.5,0.74,7.823870968,,,KUMURAM BHEEM ASIFABAD
Kumuram Bheem asifabad,April,24,2024,32.5,0.74,8.18516129,,,KUMURAM BHEEM ASIFABAD
Kumuram Bheem asifabad,May,57.1,2024,35.5,0.74,8.407419355,,,KUMURAM BHEEM ASIFABAD
Kumuram Bheem asifabad,June,90.5,2024,31.5,0.74,9.011935484,,,KUMURAM BHEEM ASIFABAD
Kumuram Bheem asifabad,July,153.9,2024,28.5,0.74,4.96,,,KUMURAM BHEEM ASIFABAD
Kumuram Bheem asifabad,August,95.4,2024,27.5,0.74,3.587,,,KUMURAM BHEEM ASIFABAD
Kumuram Bheem asifabad,September,178.9,2024,28.5,0.74,4.234666667,,,KUMURAM BHEEM ASIFABAD
Kumuram Bheem asifabad,October,53,2024,27.5,0.74,4.152666667,,,KUMURAM BHEEM ASIFABAD
Kumuram Bheem asifabad,November,10.6,2024,24.5,0.74,5.4728125,,,KUMURAM BHEEM ASIFABAD
Kumuram Bheem asifabad,December,44.1,2024,22.5,0.74,5.93875,,,KUMURAM BHEEM ASIFABAD
Mahabubabad,January,16.9,2023,23,0.52,4.226290323,,,MAHABUBABAD
Mahabubabad,February,0,2023,25,0.52,4.98516129,,,MAHABUBABAD
Mahabubabad,March,97.4,2023,29,0.52,5.211612903,,,MAHABUBABAD
Mahabubabad,April,52.2,2023,33,0.52,5.149354839,,,MAHABUBABAD
Mahabubabad,May,79.1,2023,36,0.52,5.41484375,,,MAHABUBABAD
Mahabubabad,June,48.4,2023,32,0.52,5.51875,,,MAHABUBABAD
Mahabubabad,July,278.4,2023,29,0.52,3.78140625,,,MAHABUBABAD
Mahabubabad,August,41.9,2023,28,0.52,1.91328125,,,MAHABUBABAD
Mahabubabad,September,78.2,2023,29,0.52,1.81515625,,,MAHABUBABAD
Mahabubabad,October,38.3,2023,28,0.52,2.05015625,,,MAHABUBABAD
Mahabubabad,November,51.2,2023,25,0.52,2.86637931,,,MAHABUBABAD
Mahabubabad,December,63.3,2023,23,0.52,3.56983871,,,MAHABUBABAD
Mahabubabad,January,0,2024,23.5,0.52,4.226290323,,,MAHABUBABAD
Mahabubabad,February,0,2024,25.5,0.52,4.98516129,,,MAHABUBABAD
Mahabubabad,March,4.3,2024,29.5,0.52,5.211612903,,,MAHABUBABAD
Mahabubabad,April,34.4,2024,33.5,0.52,5.149354839,,,MAHABUBABAD
Mahabubabad,May,105.1,2024,36.5,0.52,5.41484375,,,MAHABUBABAD
Mahabubabad,June,100,2024,32.5,0.52,5.51875,,,MAHABUBABAD
Mahabubabad,July,107.3,2024,29.5,0.52,3.78140625,,,MAHABUBABAD
Mahabubabad,August,87.2,2024,28.5,0.52,1.91328125,,,MAHABUBABAD
Mahabubabad,September,456.5,2024,29.5,0.52,1.81515625,,,MAHABUBABAD
Mahabubabad,October,57.4,2024,28.5,0.52,2.05015625,,,MAHABUBABAD
Mahabubabad,November,19,2024,25.5,0.52,2.86637931,,,MAHABUBABAD
